ID,PPG,RPG,APG,BPG,FT,FG,3PT,FT2,3PT2
242,7.4,2.2,1.4,0,0.857,0.449,0.363,0.857,0.363
237,5.7,4.4,2.2,0.5,0.652,0.493,0.258,0.652,0.258
233,15.7,3.3,2,0.4,0.809,0.402,0.369,0.809,0.369
180,2.8,2,0.5,0.5,0.667,0.406,0.16,0.667,0.16
240,12,5.8,1.4,0.8,0.785,0.623,0.404,0.785,0.404
260,9.9,6.2,2.8,0.3,0.789,0.368,0.293,0.789,0.293
246,7.3,6.7,1.1,1.2,0.583,0.515,0.227,0.583,0.227
241,4,1.7,1.1,0.2,0.92,0.396,0.309,0.92,0.309
261,5.7,3,2,0.1,0.684,0.412,0.381,0.684,0.381
238,16.9,4.7,1.4,1.6,0.741,0.468,0.397,0.741,0.397
243,10.4,3.2,1.7,0.5,0.659,0.439,0.319,0.659,0.319
234,7.4,1.6,4.4,0.1,0.741,0.459,0.379,0.741,0.379
239,8.1,3.7,3,0.3,0.821,0.419,0.316,0.821,0.316
236,17.6,3.5,6.9,0.3,0.77,0.491,0.367,0.77,0.367
235,14.9,11.2,1.8,1.1,0.732,0.586,0.367,0.732,0.367
249,16.2,10.5,5.1,1.3,0.69,0.567,0.077,0.69,0.077
253,20.2,6.6,6.1,0.5,0.833,0.454,0.248,0.833,0.248
260,11.9,5.8,2,0.5,0.769,0.439,0.393,0.769,0.393
254,16.1,3.1,5.1,0.1,0.769,0.437,0.377,0.769,0.377
264,1.7,2.7,0.3,0,0.75,0.167,0,0.75,0
257,12.9,4,1.9,0.1,0.835,0.414,0.391,0.835,0.391
261,2.5,1.7,0.7,0.8,1,0.267,0.333,1,0.333
259,4.4,3.8,2,1.1,0.25,0.49,0.375,0.25,0.375
293,5.7,2.9,1.2,0.7,0.571,0.448,0.356,0.571,0.356
255,8.9,4.2,1.1,0.7,0.779,0.514,0.27,0.779,0.27
256,6.1,5.1,1.1,0.3,0.654,0.52,0.429,0.654,0.429
251,15.6,2.7,3.4,0.2,0.837,0.448,0.362,0.837,0.362
263,1.4,1,0.2,0.2,0.5,0.6,0,0.5,0
252,7.7,4.4,1.6,0.3,0.854,0.476,0.432,0.854,0.432
250,13.3,3.3,1.4,0.2,0.906,0.467,0.448,0.906,0.448
258,2.9,2.7,0.5,0.4,0.694,0.623,0,0.694,0
232,9.3,3.7,1,0.7,0,0.385,0.471,0,0.471
247,11.3,6.6,4,0.5,0.667,0.388,0.222,0.667,0.222
271,29.6,13.7,5.8,1,0.633,0.547,0.306,0.633,0.306
279,2.5,1.1,0.5,0.1,0.467,0.528,0,0.467,0
160,3.7,2.9,1.3,0.7,0.667,0.476,0.444,0.667,0.444
272,15.4,4.6,5.4,0.4,0.813,0.482,0.348,0.813,0.348
277,5,3.7,1,0.2,0.771,0.367,0.316,0.771,0.316
268,5.1,4.2,1.6,0.5,0.75,0.456,0.321,0.75,0.321
270,9.4,4.9,2.3,0.3,0.769,0.462,0.344,0.769,0.344
275,9.6,3,2.9,0.1,0.831,0.53,0.48,0.831,0.48
273,6.8,4.9,0.8,0.3,0.827,0.472,0.371,0.827,0.371
276,6.7,2.1,1.2,0.2,0.824,0.429,0.415,0.824,0.415
267,11,4.5,1.6,2.4,0.81,0.427,0.296,0.81,0.296
