id,Name,Weight,Height,College,Nationality,Experience,College2
169,Danuel House,215,78,Texas A&M,US,3,Texas A&M
170,Russell Westbrook,200,75,UCLA,US,11,UCLA
171,Thabo Sefolosha,220,78,,CH,13,Did not attend
172,Eric Gordon,215,75,Indiana,US,11,Indiana
173,Chris Clemons,180,69,Campbell,US,0,Campbell
174,Tyson Chandler,240,84,,US,18,Did not attend
175,Isaiah Hartenstein,249,84,,US,1,Did not attend
176,Robert Covington,211,79,Tennessee State,US,6,Tennessee State
177,Jeff Green,235,80,Georgetown,US,11,Georgetown
178,Michael Frazier (TW),200,75,Florida,US,0,Florida
179,DeMarre Carroll,215,78,"Vanderbilt, Missouri",US,10,"Vanderbilt, Missouri"
180,Bruno Caboclo,218,81,,BR,5,Did not attend
181,William Howard (TW),205,80,,FR,0,Did not attend
182,Justin Holiday,181,78,Washington,US,6,Washington
183,T.J. McConnell,190,73,"Duquesne, Arizona",US,4,"Duquesne, Arizona"
184,Domantas Sabonis,240,83,Gonzaga,US,3,Gonzaga
185,Doug McDermott,225,79,Creighton,US,5,Creighton
186,T.J. Warren,215,80,NC State,US,5,NC State
187,Aaron Holiday,185,72,UCLA,US,1,UCLA
188,Myles Turner,250,83,Texas,US,4,Texas
189,Goga Bitadze,245,83,,GE,0,Did not attend
190,Malcolm Brogdon,229,77,Virginia,US,3,Virginia
191,Jeremy Lamb,185,77,UConn,US,7,UConn
192,JaKarr Sampson,215,79,St. John's,US,4,St. John's
193,Edmond Sumner,176,76,Xavier,US,2,Xavier
194,T.J. Leaf,225,82,UCLA,IL,2,UCLA
195,Victor Oladipo,210,76,Indiana,US,6,Indiana
196,Alize Johnson,212,79,Missouri State,US,1,Missouri State
197,Brian Bowen (TW),190,78,,US,0,Did not attend
198,Naz Mitrou-Long (TW),218,75,Iowa State,CA,2,Iowa State
199,Ivica Zubac,240,84,,BA,3,Did not attend
200,Montrezl Harrell,240,79,Louisville,US,4,Louisville
201,Lou Williams,175,73,,US,14,Did not attend
202,JaMychal Green,227,80,Alabama,US,5,Alabama
203,Kawhi Leonard,230,79,San Diego State,US,8,San Diego State
204,Patrick Patterson,230,80,Kentucky,US,9,Kentucky
205,Rodney McGruder,200,76,Kansas State,US,3,Kansas State
206,Patrick Beverley,185,73,Arkansas,US,7,Arkansas
207,Landry Shamet,188,76,Wichita State,US,1,Wichita State
208,Paul George,220,80,Fresno State,US,9,Fresno State
209,Terance Mann,215,77,Florida State,US,0,Florida State
210,Johnathan Motley (TW),230,80,Baylor,US,2,Baylor
211,Amir Coffey (TW),205,79,Minnesota,US,0,Minnesota
212,Marcus Morris,235,80,Kansas,US,8,Kansas
213,Mfiondu Kabengele,250,81,Florida State,CA,0,Florida State
214,Reggie Jackson,208,75,Boston College,IT,8,Boston College
215,Joakim Noah,230,83,Florida,US,12,Florida
216,Kentavious Caldwell-Pope,205,77,Georgia,US,6,Georgia
217,Dwight Howard,265,82,,US,15,Did not attend
218,Danny Green,215,78,UNC,US,10,UNC
219,JaVale McGee,270,84,Nevada,US,11,Nevada
220,LeBron James,250,81,,US,16,Did not attend
221,Alex Caruso,186,77,Texas A&M,US,2,Texas A&M
222,Anthony Davis,253,82,Kentucky,US,7,Kentucky
223,Kyle Kuzma,220,80,Utah,US,2,Utah
224,Avery Bradley,180,75,Texas,US,9,Texas
225,Rajon Rondo,186,73,Kentucky,US,13,Kentucky
226,Jared Dudley,237,78,Boston College,US,12,Boston College
227,Quinn Cook,179,73,Duke,US,3,Duke
228,Markieff Morris,245,80,Kansas,US,8,Kansas
229,Kostas Antetokounmpo (TW),200,82,Dayton,GR,1,Dayton
230,Talen Horton-Tucker,235,76,Iowa State,US,0,Iowa State
231,Devontae Cacok (TW),240,79,UNC Wilmington,US,0,UNC Wilmington
232,Dion Waiters,215,75,Syracuse,US,7,Syracuse
233,Dillon Brooks,220,79,Oregon,CA,2,Oregon
234,Tyus Jones,196,72,Duke,US,4,Duke
235,Jonas ValanÄiÅ«nas,265,83,,LT,7,Did not attend
236,Ja Morant,175,75,Murray State,US,0,Murray State
237,Kyle Anderson,230,81,UCLA,US,5,UCLA
238,Jaren Jackson Jr.,242,83,Michigan State,US,1,Michigan State
239,De'Anthony Melton,200,74,USC,US,1,USC
240,Brandon Clarke,210,80,"San Jose State, Gonzaga",CA,0,"San Jose State, Gonzaga"
241,Marko Guduric,201,78,,RS,0,Did not attend
242,Grayson Allen,198,76,Duke,US,1,Duke
243,Josh Jackson,207,80,Kansas,US,2,Kansas
244,Yuta Watanabe (TW),205,80,George Washington,JP,1,George Washington
245,John Konchar (TW),210,77,Purdue-Fort Wayne,US,0,Purdue-Fort Wayne
246,Gorgui Dieng,252,82,Louisville,SN,6,Louisville
247,Justise Winslow,225,78,Duke,US,4,Duke
248,Jontay Porter,240,83,Missouri,US,0,Missouri
249,Bam Adebayo,255,81,Kentucky,US,2,Kentucky
250,Duncan Robinson,215,79,"Williams, Michigan",US,1,"Williams, Michigan"
251,Kendrick Nunn,190,74,"Illinois, Oakland",US,0,"Illinois, Oakland"
252,Kelly Olynyk,240,83,Gonzaga,CA,6,Gonzaga
253,Jimmy Butler,230,79,Marquette,US,8,Marquette
